2022-12-20 22:12:722 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:359 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
2022-12-20 22:12:450 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:742 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
2022-12-20 22:12:749 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:118 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
2022-12-20 22:12:126 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:281 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
2022-12-20 22:12:386 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:546 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
